"ranking","name","count","total","male","female","langs"
"36","시윤","22427","22427","15688","6745","@{ko=시윤; en=Siyun}"
"37","수현","22252","22252","11804","10449","@{ko=수현; en=Suhyeon}"
"38","은서","22215","22215","269","21946","@{ko=은서; en=Eunseo}"
"39","지훈","22081","22081","22043","38","@{ko=지훈; en=Jihun}"
"40","다은","21995","21995","34","21961","@{ko=다은; en=Daeun}"
"41","하율","21982","21982","8293","13690","@{ko=하율; en=Hayul}"
"42","서우","21773","21773","9037","12737","@{ko=서우; en=Seou}"
"43","수빈","20832","20832","1664","19170","@{ko=수빈; en=Subin}"
"44","예은","20438","20438","5","20433","@{ko=예은; en=Yeeun}"
"45","소율","20216","20216","333","19883","@{ko=소율; en=Soyul}"
"46","시현","19715","19715","10420","9300","@{ko=시현; en=Sihyeon}"
"47","예린","19464","19464","5","19459","@{ko=예린; en=Yerin}"
"48","지율","19440","19440","7963","11478","@{ko=지율; en=Jiyul}"
"49","유진","19409","19409","3266","16146","@{ko=유진; en=Yujin}"
"50","현서","19123","19123","7775","11348","@{ko=현서; en=Hyeonseo}"
"51","서아","18992","18992","17","18975","@{ko=서아; en=Seoa}"
"52","유준","18650","18650","18616","34","@{ko=유준; en=Yujun}"
"53","하린","18644","18644","201","18445","@{ko=하린; en=Harin}"
"54","예원","18394","18394","166","18228","@{ko=예원; en=Yewon}"
"55","소윤","18229","18229","47","18182","@{ko=소윤; en=Soyun}"
"56","민재","18195","18195","17476","719","@{ko=민재; en=Minjae}"
"57","수민","17098","17098","3579","13519","@{ko=수민; en=Sumin}"
"58","현준","17047","17047","17033","14","@{ko=현준; en=Hyeonjun}"
"59","유나","16676","16676","8","16668","@{ko=유나; en=Yuna}"
"60","시은","16666","16666","160","16506","@{ko=시은; en=Sieun}"
"61","서율","16548","16548","5049","11505","@{ko=서율; en=Seoyul}"
"62","정우","16025","16025","15864","161","@{ko=정우; en=Jeongu}"
"63","채은","16017","16017","4","16013","@{ko=채은; en=Chaeeun}"
"64","윤아","15966","15966","8","15958","@{ko=윤아; en=Yuna}"
"65","승현","15755","15755","14021","1734","@{ko=승현; en=Seunghyeon}"
"66","이준","15524","15524","15459","65","@{ko=이준; en=Ijun}"
"67","아인","15424","15424","2905","12527","@{ko=아인; en=Ain}"
"68","예나","15162","15162","2","15160","@{ko=예나; en=Yena}"
"69","가은","14890","14890","21","14869","@{ko=가은; en=Gaeun}"
"70","승우","14683","14683","14660","23","@{ko=승우; en=Seungu}"
"71","윤우","14521","14521","14020","501","@{ko=윤우; en=Yunu}"
"72","서영","14485","14485","158","14327","@{ko=서영; en=Seoyeong}"
"73","시아","14418","14418","176","14243","@{ko=시아; en=Sia}"
"74","예서","14296","14296","206","14090","@{ko=예서; en=Yeseo}"
"75","아린","14284","14284","26","14258","@{ko=아린; en=Arin}"
"76","예진","14200","14200","20","14180","@{ko=예진; en=Yejin}"
"77","이안","14199","14199","10872","3332","@{ko=이안; en=Ian}"
"78","다온","14079","14079","6094","7991","@{ko=다온; en=Daon}"
"79","지환","14066","14066","14049","17","@{ko=지환; en=Jihwan}"
"80","민지","14025","14025","17","14008","@{ko=민지; en=Minji}"
"81","주아","13855","13855","69","13786","@{ko=주아; en=Jua}"
"82","유빈","13848","13848","3122","10726","@{ko=유빈; en=Yubin}"
"83","준혁","13773","13773","13770","3","@{ko=준혁; en=Junhyeok}"
"84","시온","13725","13725","9190","4543","@{ko=시온; en=Sion}"
"85","수연","13547","13547","289","13258","@{ko=수연; en=Suyeon}"
"86","다인","13535","13535","438","13101","@{ko=다인; en=Dain}"
"87","유찬","13480","13480","13473","7","@{ko=유찬; en=Yuchan}"
"88","승민","13352","13352","12774","578","@{ko=승민; en=Seungmin}"
"89","유주","13330","13330","280","13052","@{ko=유주; en=Yuju}"
"90","연서","12908","12908","285","12623","@{ko=연서; en=Yeonseo}"
"91","시후","12810","12810","12386","425","@{ko=시후; en=Sihu}"
"92","하진","12795","12795","7723","5073","@{ko=하진; en=Hajin}"
"93","아윤","12788","12788","182","12607","@{ko=아윤; en=Ayun}"
"94","시연","12749","12749","421","12329","@{ko=시연; en=Siyeon}"
"95","민성","12497","12497","12170","327","@{ko=민성; en=Minseong}"
"96","서하","12467","12467","1578","10890","@{ko=서하; en=Seoha}"
"97","진우","12311","12311","12253","58","@{ko=진우; en=Jinu}"
"98","채윤","12292","12292","651","11641","@{ko=채윤; en=Chaeyun}"
"99","수호","12272","12272","12213","59","@{ko=수호; en=Suho}"
"100","서은","12107","12107","45","12062","@{ko=서은; en=Seoeun}"
"101","준영","12073","12073","11800","273","@{ko=준영; en=Junyeong}"
"102","다연","11971","11971","13","11958","@{ko=다연; en=Dayeon}"
"103","하람","11738","11738","7078","4661","@{ko=하람; en=Haram}"
"104","하연","11581","11581","124","11457","@{ko=하연; en=Hayeon}"
"105","다현","11529","11529","851","10678","@{ko=다현; en=Dahyeon}"
"106","나윤","11523","11523","58","11466","@{ko=나윤; en=Nayun}"
"107","율","11433","11433","7728","3711","@{ko=율; en=Yul}"
"108","재윤","11392","11392","10539","853","@{ko=재윤; en=Jaeyun}"
"109","시원","11342","11342","9311","2033","@{ko=시원; en=Siwon}"
"110","나은","11310","11310","4","11306","@{ko=나은; en=Naeun}"
"111","하랑","10889","10889","5756","5134","@{ko=하랑; en=Harang}"
"112","한결","10786","10786","10083","703","@{ko=한결; en=Hangyeol}"
"113","정민","10697","10697","7062","3635","@{ko=정민; en=Jeongmin}"
"114","태윤","10688","10688","10173","515","@{ko=태윤; en=Taeyun}"
"115","정원","10671","10671","4392","6280","@{ko=정원; en=Jeongwon}"
"116","도연","10594","10594","3069","7527","@{ko=도연; en=Doyeon}"
"117","예지","10433","10433","4","10429","@{ko=예지; en=Yeji}"
"118","주하","10357","10357","1702","8655","@{ko=주하; en=Juha}"
"119","가온","10284","10284","4493","5791","@{ko=가온; en=Gaon}"
"120","이현","10164","10164","6422","3748","@{ko=이현; en=Ihyeon}"
"121","지수","10100","10100","1529","8579","@{ko=지수; en=Jisu}"
"122","채아","10059","10059","3","10056","@{ko=채아; en=Chaea}"
"123","지현","10039","10039","1173","8866","@{ko=지현; en=Jihyeon}"
"124","소은","10033","10033","3","10030","@{ko=소은; en=Soeun}"
"125","사랑","10017","10017","355","9663","@{ko=사랑; en=Sarang}"
"126","재원","9874","9874","9275","599","@{ko=재원; en=Jaewon}"
"127","나연","9764","9764","5","9759","@{ko=나연; en=Nayeon}"
"128","은찬","9729","9729","9478","251","@{ko=은찬; en=Eunchan}"
"129","하민","9715","9715","6888","2831","@{ko=하민; en=Hamin}"
"130","준희","9714","9714","6561","3157","@{ko=준희; en=Junhui}"
"131","동현","9646","9646","9620","26","@{ko=동현; en=Donghyeon}"
"132","지은","9627","9627","23","9604","@{ko=지은; en=Jieun}"
"133","우주","9563","9563","8067","1500","@{ko=우주; en=Uju}"
"134","민주","9495","9495","301","9195","@{ko=민주; en=Minju}"
"135","윤호","9451","9451","9431","20","@{ko=윤호; en=Yunho}"
"136","민우","9444","9444","9390","54","@{ko=민우; en=Minu}"
"137","예빈","9413","9413","121","9292","@{ko=예빈; en=Yebin}"
"138","민규","9344","9344","9335","9","@{ko=민규; en=Mingyu}"
"139","은호","9339","9339","8681","661","@{ko=은호; en=Eunho}"
"140","하늘","9338","9338","3697","5651","@{ko=하늘; en=Haneul}"
"141","다윤","9269","9269","489","8780","@{ko=다윤; en=Dayun}"
"142","재민","9229","9229","9055","174","@{ko=재민; en=Jaemin}"
"143","라온","9212","9212","5106","4106","@{ko=라온; en=Raon}"
"144","은성","9007","9007","6627","2380","@{ko=은성; en=Eunseong}"
"145","은채","8993","8993","38","8955","@{ko=은채; en=Eunchae}"
"146","민찬","8990","8990","8980","10","@{ko=민찬; en=Minchan}"
"147","윤지","8985","8985","9","8976","@{ko=윤지; en=Yunji}"
"148","세아","8870","8870","42","8829","@{ko=세아; en=Sea}"
"149","소연","8867","8867","4","8863","@{ko=소연; en=Soyeon}"
"150","지한","8827","8827","8753","75","@{ko=지한; en=Jihan}"
"151","재이","8752","8752","2860","5896","@{ko=재이; en=Jaei}"
"152","하영","8627","8627","528","8099","@{ko=하영; en=Hayeong}"
"153","유하","8605","8605","2046","6568","@{ko=유하; en=Yuha}"
"154","우빈","8589","8589","8307","283","@{ko=우빈; en=Ubin}"
"155","승아","8453","8453","93","8360","@{ko=승아; en=Seunga}"
"156","혜원","8407","8407","57","8350","@{ko=혜원; en=Hyewon}"
"157","성현","8403","8403","7884","519","@{ko=성현; en=Seonghyeon}"
"158","소민","8345","8345","87","8258","@{ko=소민; en=Somin}"
"159","성민","8317","8317","8095","222","@{ko=성민; en=Seongmin}"
"160","정현","8311","8311","5757","2554","@{ko=정현; en=Jeonghyeon}"
"161","채린","8297","8297","2","8295","@{ko=채린; en=Chaerin}"
"162","준호","8288","8288","8286","2","@{ko=준호; en=Junho}"
"163","태희","8183","8183","1370","6814","@{ko=태희; en=Taehui}"
"164","규민","8119","8119","7197","922","@{ko=규민; en=Gyumin}"
"165","예성","8048","8048","7533","515","@{ko=예성; en=Yeseong}"
"166","승준","8032","8032","8028","4","@{ko=승준; en=Seungjun}"
"167","서희","7988","7988","96","7892","@{ko=서희; en=Seohui}"
"168","재현","7975","7975","7817","158","@{ko=재현; en=Jaehyeon}"
"169","민아","7927","7927","6","7921","@{ko=민아; en=Mina}"
"170","나현","7899","7899","89","7810","@{ko=나현; en=Nahyeon}"
"171","세은","7868","7868","59","7809","@{ko=세은; en=Seeun}"
"172","민호","7854","7854","7846","8","@{ko=민호; en=Minho}"
"173","지성","7781","7781","7614","167","@{ko=지성; en=Jiseong}"
"174","태현","7754","7754","7426","328","@{ko=태현; en=Taehyeon}"
"175","태민","7732","7732","7666","66","@{ko=태민; en=Taemin}"
"176","아영","7671","7671","2","7669","@{ko=아영; en=Ayeong}"
"177","윤재","7637","7637","7307","331","@{ko=윤재; en=Yunjae}"
"178","지오","7631","7631","5865","1769","@{ko=지오; en=Jio}"
"179","유민","7624","7624","2943","4682","@{ko=유민; en=Yumin}"
"180","준","7615","7615","7501","114","@{ko=준; en=Jun}"
"181","규리","7588","7588","17","7571","@{ko=규리; en=Gyuri}"
"182","로운","7550","7550","6687","863","@{ko=로운; en=Roun}"
"183","시율","7490","7490","5481","2009","@{ko=시율; en=Siyul}"
"184","윤성","7447","7447","7091","356","@{ko=윤성; en=Yunseong}"
"185","이서","7353","7353","671","6692","@{ko=이서; en=Iseo}"
"186","민혁","7350","7350","7349","1","@{ko=민혁; en=Minhyeok}"
"187","채민","7348","7348","2214","5134","@{ko=채민; en=Chaemin}"
"188","윤","7255","7255","4489","2770","@{ko=윤; en=Yun}"
"189","민채","7214","7214","322","6892","@{ko=민채; en=Minchae}"
"189","성준","7214","7214","7213","1","@{ko=성준; en=Seongjun}"
"191","한별","7171","7171","1624","5555","@{ko=한별; en=Hanbyeol}"
"192","가윤","7118","7118","49","7069","@{ko=가윤; en=Gayun}"
"193","아현","7095","7095","139","6957","@{ko=아현; en=Ahyeon}"
"194","보민","7028","7028","644","6385","@{ko=보민; en=Bomin}"
"195","주은","7027","7027","296","6731","@{ko=주은; en=Jueun}"
"196","하온","7024","7024","3949","3079","@{ko=하온; en=Haon}"
"197","온유","7014","7014","4323","2697","@{ko=온유; en=Onyu}"
"198","지연","6976","6976","22","6954","@{ko=지연; en=Jiyeon}"
"199","태양","6968","6968","6843","125","@{ko=태양; en=Taeyang}"
"200","도영","6941","6941","5541","1401","@{ko=도영; en=Doyeong}"
"201","도경","6929","6929","4537","2394","@{ko=도경; en=Dogyeong}"
"202","주안","6891","6891","6318","575","@{ko=주안; en=Juan}"
"203","예림","6881","6881","7","6874","@{ko=예림; en=Yerim}"
"204","주영","6858","6858","4734","2124","@{ko=주영; en=Juyeong}"
"205","서원","6819","6819","3409","3414","@{ko=서원; en=Seowon}"
"206","연아","6771","6771","5","6766","@{ko=연아; en=Yeona}"
"207","현진","6713","6713","4083","2630","@{ko=현진; en=Hyeonjin}"
"208","유정","6679","6679","78","6601","@{ko=유정; en=Yujeong}"
"209","준수","6667","6667","6658","9","@{ko=준수; en=Junsu}"
"210","예찬","6662","6662","6622","40","@{ko=예찬; en=Yechan}"
"211","윤하","6627","6627","387","6240","@{ko=윤하; en=Yunha}"
"212","도훈","6602","6602","6601","1","@{ko=도훈; en=Dohun}"
"213","세연","6597","6597","523","6074","@{ko=세연; en=Seyeon}"
"214","재희","6550","6550","3352","3200","@{ko=재희; en=Jaehui}"
"215","이든","6540","6540","5987","555","@{ko=이든; en=Ideun}"
"216","민석","6509","6509","6505","4","@{ko=민석; en=Minseok}"
"217","소현","6480","6480","19","6461","@{ko=소현; en=Sohyeon}"
"218","태연","6431","6431","1614","4817","@{ko=태연; en=Taeyeon}"
"219","지효","6379","6379","508","5871","@{ko=지효; en=Jihyo}"
"220","소이","6377","6377","9","6368","@{ko=소이; en=Soi}"
"221","건","6331","6331","6321","10","@{ko=건; en=Geon}"
"222","수진","6325","6325","88","6237","@{ko=수진; en=Sujin}"
"223","주호","6294","6294","6249","45","@{ko=주호; en=Juho}"
"224","민정","6289","6289","16","6273","@{ko=민정; en=Minjeong}"
"225","도하","6242","6242","5565","684","@{ko=도하; en=Doha}"
"226","지온","6239","6239","2115","4135","@{ko=지온; en=Jion}"
"227","현지","6204","6204","31","6173","@{ko=현지; en=Hyeonji}"
"228","은율","6198","6198","3254","2945","@{ko=은율; en=Eunyul}"
"229","가현","6178","6178","143","6035","@{ko=가현; en=Gahyeon}"
"230","지완","6158","6158","5980","178","@{ko=지완; en=Jiwan}"
"231","라희","6155","6155","25","6130","@{ko=라희; en=Rahui}"
"232","나경","6152","6152","19","6133","@{ko=나경; en=Nagyeong}"
"233","봄","6138","6138","233","5905","@{ko=봄; en=Bom}"
"234","리아","6112","6112","11","6102","@{ko=리아; en=Ria}"
"235","현수","6104","6104","5782","323","@{ko=현수; en=Hyeonsu}"
"236","민경","6091","6091","61","6030","@{ko=민경; en=Mingyeong}"
"237","승원","6084","6084","5761","323","@{ko=승원; en=Seungwon}"
"238","윤슬","6078","6078","352","5727","@{ko=윤슬; en=Yunseul}"
"239","강민","6020","6020","5990","30","@{ko=강민; en=Gangmin}"
"240","재인","6009","6009","1555","4454","@{ko=재인; en=Jaein}"
"241","세현","5915","5915","4325","1591","@{ko=세현; en=Sehyeon}"
"242","승연","5894","5894","1465","4429","@{ko=승연; en=Seungyeon}"
"243","준성","5893","5893","5889","4","@{ko=준성; en=Junseong}"
"244","경민","5870","5870","4712","1159","@{ko=경민; en=Gyeongmin}"
"245","가연","5827","5827","6","5821","@{ko=가연; en=Gayeon}"
"246","태준","5822","5822","5818","4","@{ko=태준; en=Taejun}"
"247","은지","5817","5817","3","5814","@{ko=은지; en=Eunji}"
"248","시안","5771","5771","4319","1460","@{ko=시안; en=Sian}"
"249","유안","5746","5746","3505","2242","@{ko=유안; en=Yuan}"
"250","성빈","5741","5741","5529","212","@{ko=성빈; en=Seongbin}"
"251","주현","5693","5693","3332","2361","@{ko=주현; en=Juhyeon}"
"252","서빈","5687","5687","1989","3701","@{ko=서빈; en=Seobin}"
"253","건희","5636","5636","5210","427","@{ko=건희; en=Geonhui}"
"254","승호","5633","5633","5630","3","@{ko=승호; en=Seungho}"
"255","규빈","5626","5626","3508","2118","@{ko=규빈; en=Gyubin}"
"256","다원","5606","5606","2172","3436","@{ko=다원; en=Dawon}"
"257","예슬","5578","5578","3","5575","@{ko=예슬; en=Yeseul}"
"258","은재","5560","5560","1934","3627","@{ko=은재; en=Eunjae}"
"259","도율","5536","5536","5393","145","@{ko=도율; en=Doyul}"
"260","채연","5535","5535","7","5528","@{ko=채연; en=Chaeyeon}"
"261","소희","5521","5521","3","5518","@{ko=소희; en=Sohui}"
"262","설아","5517","5517","5","5512","@{ko=설아; en=Seola}"
"263","우현","5488","5488","5367","122","@{ko=우현; en=Uhyeon}"
"264","은솔","5471","5471","263","5210","@{ko=은솔; en=Eunsol}"
"265","리안","5411","5411","1838","3573","@{ko=리안; en=Rian}"
"266","정윤","5409","5409","1888","3521","@{ko=정윤; en=Jeongyun}"
"267","다빈","5402","5402","718","4685","@{ko=다빈; en=Dabin}"
"268","현아","5399","5399","4","5395","@{ko=현아; en=Hyeona}"
"269","은수","5359","5359","2543","2817","@{ko=은수; en=Eunsu}"
"270","태경","5330","5330","4254","1077","@{ko=태경; en=Taegyeong}"
"271","은유","5294","5294","742","4558","@{ko=은유; en=Eunyu}"
"272","서후","5290","5290","4592","700","@{ko=서후; en=Seohu}"
"273","주연","5272","5272","414","4858","@{ko=주연; en=Juyeon}"
"274","현","5269","5269","4332","939","@{ko=현; en=Hyeon}"
"275","유림","5247","5247","107","5140","@{ko=유림; en=Yurim}"
"276","효주","5245","5245","57","5188","@{ko=효주; en=Hyoju}"
"277","민수","5216","5216","5064","152","@{ko=민수; en=Minsu}"
"278","하나","5214","5214","47","5168","@{ko=하나; en=Hana}"
"279","시훈","5179","5179","5172","7","@{ko=시훈; en=Sihun}"
"280","주환","5146","5146","5137","9","@{ko=주환; en=Juhwan}"
"281","수인","5142","5142","736","4406","@{ko=수인; en=Suin}"
"282","태은","5133","5133","695","4438","@{ko=태은; en=Taeeun}"
"283","태린","5127","5127","231","4896","@{ko=태린; en=Taerin}"
"284","채이","5120","5120","23","5097","@{ko=채이; en=Chaei}"
"285","현민","5100","5100","4805","295","@{ko=현민; en=Hyeonmin}"
"286","시완","5092","5092","5058","34","@{ko=시완; en=Siwan}"
"287","원준","5055","5055","5053","2","@{ko=원준; en=Wonjun}"
"288","유리","5051","5051","56","4995","@{ko=유리; en=Yuri}"
"289","정훈","5040","5040","5014","26","@{ko=정훈; en=Jeonghun}"
"290","승윤","5037","5037","4744","293","@{ko=승윤; en=Seungyun}"
"291","예주","5031","5031","55","4976","@{ko=예주; en=Yeju}"
"292","태영","5023","5023","4365","658","@{ko=태영; en=Taeyeong}"
"293","다희","4953","4953","4","4949","@{ko=다희; en=Dahui}"
"294","도원","4945","4945","4426","519","@{ko=도원; en=Dowon}"
"295","예담","4939","4939","1385","3556","@{ko=예담; en=Yedam}"
"296","민하","4882","4882","622","4261","@{ko=민하; en=Minha}"
"297","가영","4876","4876","4","4872","@{ko=가영; en=Gayeong}"
"298","단우","4859","4859","4520","340","@{ko=단우; en=Danu}"
"299","진서","4857","4857","2491","2366","@{ko=진서; en=Jinseo}"
"300","다솜","4843","4843","16","4827","@{ko=다솜; en=Dasom}"
"301","동하","4836","4836","4750","86","@{ko=동하; en=Dongha}"
"302","유현","4822","4822","3476","1348","@{ko=유현; en=Yuhyeon}"
"303","민기","4816","4816","4771","45","@{ko=민기; en=Mingi}"
"304","승빈","4807","4807","4466","341","@{ko=승빈; en=Seungbin}"
"305","혜린","4805","4805","4","4801","@{ko=혜린; en=Hyerin}"
"306","로아","4801","4801","413","4391","@{ko=로아; en=Roa}"
"307","연재","4785","4785","1194","3594","@{ko=연재; en=Yeonjae}"
"308","현성","4738","4738","4662","76","@{ko=현성; en=Hyeonseong}"
"309","다율","4703","4703","1134","3569","@{ko=다율; en=Dayul}"
"309","단아","4703","4703","16","4687","@{ko=단아; en=Dana}"
"311","민건","4677","4677","4677","0","@{ko=민건; en=Mingeon}"
"312","해인","4633","4633","1000","3638","@{ko=해인; en=Haein}"
"313","재하","4632","4632","4494","138","@{ko=재하; en=Jaeha}"
"314","정후","4614","4614","4548","66","@{ko=정후; en=Jeonghu}"
"315","재영","4610","4610","4041","569","@{ko=재영; en=Jaeyeong}"
"316","시환","4609","4609","4600","9","@{ko=시환; en=Sihwan}"
"317","다혜","4600","4600","1","4599","@{ko=다혜; en=Dahye}"
"317","솔","4600","4600","1241","3362","@{ko=솔; en=Sol}"
"319","혜인","4598","4598","47","4551","@{ko=혜인; en=Hyein}"
"320","태오","4582","4582","4577","5","@{ko=태오; en=Taeo}"
"321","지영","4523","4523","145","4378","@{ko=지영; en=Jiyeong}"
"322","서인","4512","4512","519","3993","@{ko=서인; en=Seoin}"
"323","지혜","4499","4499","7","4492","@{ko=지혜; en=Jihye}"
"324","태리","4484","4484","375","4109","@{ko=태리; en=Taeri}"
"325","태훈","4452","4452","4451","1","@{ko=태훈; en=Taehun}"
"326","가람","4451","4451","2044","2407","@{ko=가람; en=Garam}"
"327","채영","4429","4429","109","4320","@{ko=채영; en=Chaeyeong}"
"328","고은","4414","4414","9","4405","@{ko=고은; en=Goeun}"
"329","호준","4410","4410","4408","2","@{ko=호준; en=Hojun}"
"330","재훈","4376","4376","4373","3","@{ko=재훈; en=Jaehun}"
"331","재준","4375","4375","4375","0","@{ko=재준; en=Jaejun}"
"332","채현","4365","4365","568","3798","@{ko=채현; en=Chaehyeon}"
"333","동건","4348","4348","4347","1","@{ko=동건; en=Donggeon}"
"334","수정","4338","4338","10","4328","@{ko=수정; en=Sujeong}"
"335","성윤","4335","4335","4032","303","@{ko=성윤; en=Seongyun}"
"336","가빈","4322","4322","305","4018","@{ko=가빈; en=Gabin}"
"337","아라","4308","4308","17","4292","@{ko=아라; en=Ara}"
"338","도은","4252","4252","803","3449","@{ko=도은; en=Doeun}"
"339","연준","4243","4243","4215","28","@{ko=연준; en=Yeonjun}"
"340","아진","4230","4230","304","3926","@{ko=아진; en=Ajin}"
"341","세인","4211","4211","867","3344","@{ko=세인; en=Sein}"
"342","태율","4207","4207","4026","181","@{ko=태율; en=Taeyul}"
"343","정연","4201","4201","922","3279","@{ko=정연; en=Jeongyeon}"
"344","세빈","4181","4181","638","3543","@{ko=세빈; en=Sebin}"
"345","찬영","4175","4175","4106","69","@{ko=찬영; en=Chanyeong}"
"346","현승","4166","4166","3977","189","@{ko=현승; en=Hyeonseung}"
"347","승주","4149","4149","2646","1503","@{ko=승주; en=Seungju}"
"348","나율","4135","4135","252","3884","@{ko=나율; en=Nayul}"
"349","수지","4133","4133","6","4127","@{ko=수지; en=Suji}"
"350","범준","4132","4132","4132","0","@{ko=범준; en=Beomjun}"
"351","찬희","4105","4105","3713","392","@{ko=찬희; en=Chanhui}"
"352","은별","4073","4073","87","3986","@{ko=은별; en=Eunbyeol}"
"353","희원","4059","4059","1065","2994","@{ko=희원; en=Huiwon}"
"354","유건","4058","4058","4054","4","@{ko=유건; en=Yugeon}"
"355","별","4043","4043","349","3695","@{ko=별; en=Byeol}"
"356","연수","4034","4034","1287","2747","@{ko=연수; en=Yeonsu}"
"357","영준","4027","4027","4021","6","@{ko=영준; en=Yeongjun}"
"358","태인","4018","4018","2976","1045","@{ko=태인; en=Taein}"
"359","보경","4014","4014","252","3762","@{ko=보경; en=Bogyeong}"
"360","예솔","3991","3991","79","3914","@{ko=예솔; en=Yesol}"
"361","지운","3969","3969","3626","343","@{ko=지운; en=Jiun}"
"362","나영","3957","3957","5","3952","@{ko=나영; en=Nayeong}"
"362","상현","3957","3957","3935","22","@{ko=상현; en=Sanghyeon}"
"364","소영","3955","3955","4","3951","@{ko=소영; en=Soyeong}"
"365","루아","3943","3943","163","3782","@{ko=루아; en=Rua}"
"366","도준","3940","3940","3937","3","@{ko=도준; en=Dojun}"
"367","승훈","3925","3925","3923","2","@{ko=승훈; en=Seunghun}"
"368","주혁","3914","3914","3912","2","@{ko=주혁; en=Juhyeok}"
"369","태이","3896","3896","1833","2065","@{ko=태이; en=Taei}"
"370","지혁","3888","3888","3886","2","@{ko=지혁; en=Jihyeok}"
"371","시호","3887","3887","3260","628","@{ko=시호; en=Siho}"
"372","하빈","3880","3880","1546","2334","@{ko=하빈; en=Habin}"
"373","찬우","3871","3871","3868","3","@{ko=찬우; en=Chanu}"
"374","우성","3859","3859","3851","8","@{ko=우성; en=Useong}"
"375","동윤","3856","3856","3823","33","@{ko=동윤; en=Dongyun}"
"376","하음","3844","3844","565","3279","@{ko=하음; en=Haeum}"
"377","승재","3833","3833","3815","18","@{ko=승재; en=Seungjae}"
"378","건호","3832","3832","3828","4","@{ko=건호; en=Geonho}"
"379","연호","3826","3826","3521","305","@{ko=연호; en=Yeonho}"
"380","세준","3819","3819","3814","5","@{ko=세준; en=Sejun}"
"381","다영","3807","3807","11","3796","@{ko=다영; en=Dayeong}"
"382","주희","3804","3804","38","3766","@{ko=주희; en=Juhui}"
"383","도희","3802","3802","203","3599","@{ko=도희; en=Dohui}"
"384","선율","3795","3795","2319","1476","@{ko=선율; en=Seonyul}"
"385","윤후","3768","3768","3691","77","@{ko=윤후; en=Yunhu}"
"386","시영","3757","3757","1858","1899","@{ko=시영; en=Siyeong}"
"387","산","3745","3745","3685","60","@{ko=산; en=San}"
"388","리원","3730","3730","396","3334","@{ko=리원; en=Riwon}"
"389","성훈","3708","3708","3707","1","@{ko=성훈; en=Seonghun}"
"390","민영","3698","3698","1099","2599","@{ko=민영; en=Minyeong}"
"391","태호","3697","3697","3697","0","@{ko=태호; en=Taeho}"
"392","슬아","3690","3690","12","3678","@{ko=슬아; en=Seula}"
"393","찬","3670","3670","3656","14","@{ko=찬; en=Chan}"
"394","윤찬","3667","3667","3663","4","@{ko=윤찬; en=Yunchan}"
"395","한나","3622","3622","6","3616","@{ko=한나; en=Hanna}"
"395","해솔","3622","3622","1675","1949","@{ko=해솔; en=Haesol}"
"397","로이","3616","3616","2826","797","@{ko=로이; en=Roi}"
